tac_doc_id,tac_sentence_id,sentence,tac_tokens,subj_start,subj_end,obj_start,obj_end,assessment,alt_subj_start,alt_subj_end,alt_obj_start,alt_obj_end
eng-WL-11-174587-12962613,61b3a0af8f529cfaab32,Spencer Pratt: Beverly Hills Birthday Boy,"['Spencer', 'Pratt', ':', 'Beverly', 'Hills', 'Birthday', 'Boy']",0,1,3,4,,,,,
NYT_ENG_20070307.0072.LDC2009T13,61b3a0af8fbc91cad61a,"The same week that a Los Angeles salon owner was pleading with Britney Spears not to buzz her head, barbers were laying tracks across the scalps of all sorts of men at the Aidan Gill for Men salon in New Orleans.","['The', 'same', 'week', 'that', 'a', 'Los', 'Angeles', 'salon', 'owner', 'was', 'pleading', 'with', 'Britney', 'Spears', 'not', 'to', 'buzz', 'her', 'head', ',', 'barbers', 'were', 'laying', 'tracks', 'across', 'the', 'scalps', 'of', 'all', 'sorts', 'of', 'men', 'at', 'the', 'Aidan', 'Gill', 'for', 'Men', 'salon', 'in', 'New', 'Orleans', '.']",12,13,5,6,,,,,
NYT_ENG_20081130.0180.LDC2009T13,61b3a0af8f45eb343ec5,"Meadows, founded and operated by Carolyn Goodman, the wife of the Las Vegas mayor, Oscar Goodman, occupies a lush 40-acre campus dotted by markers touting the sponsorships of buildings, benches, trees, even trash receptacles in honor of the scions of the city's business and political leaders.","['Meadows', ',', 'founded', 'and', 'operated', 'by', 'Carolyn', 'Goodman', ',', 'the', 'wife', 'of', 'the', 'Las', 'Vegas', 'mayor', ',', 'Oscar', 'Goodman', ',', 'occupies', 'a', 'lush', '40-acre', 'campus', 'dotted', 'by', 'markers', 'touting', 'the', 'sponsorships', 'of', 'buildings', ',', 'benches', ',', 'trees', ',', 'even', 'trash', 'receptacles', 'in', 'honor', 'of', 'the', 'scions', 'of', 'the', 'city', ""'s"", 'business', 'and', 'political', 'leaders', '.']",6,7,13,14,,,,,
LTW_ENG_20070814.0081.LDC2009T13,61b3a0af8fa39a7950a4,"On the July morning in 1944 when she boarded a Greyhound bus in Gloucester bound for Baltimore, Kirkaldy was not thinking about tackling racial segregation.","['On', 'the', 'July', 'morning', 'in', '1944', 'when', 'she', 'boarded', 'a', 'Greyhound', 'bus', 'in', 'Gloucester', 'bound', 'for', 'Baltimore', ',', 'Kirkaldy', 'was', 'not', 'thinking', 'about', 'tackling', 'racial', 'segregation', '.']",7,7,13,13,,,,,
APW_ENG_20081107.0065.LDC2009T13,61b3a0af8ffac82dbe27,"She stayed at her home in Wasilla, located 40 miles to the north, but was expected in her office on Friday, spokesman Bill McAllister said.","['She', 'stayed', 'at', 'her', 'home', 'in', 'Wasilla', ',', 'located', '40', 'miles', 'to', 'the', 'north', ',', 'but', 'was', 'expected', 'in', 'her', 'office', 'on', 'Friday', ',', 'spokesman', 'Bill', 'McAllister', 'said', '.']",25,26,6,6,,,,,
XIN_ENG_20080324.0170.LDC2009T13,61b3a0af8f87278e2a2d,"DAMASCUS - Saudi permanent representative to the Arab League (AL) Ahmad Qattan said here Monday that he will attend the upcoming Arab summit on behalf of his country, ruling out the presence of Saudi King Abdullah or Foreign Minister Prince Saud al-Faisal.","['DAMASCUS', '--', 'Saudi', 'permanent', 'representative', 'to', 'the', 'Arab', 'League', '-LRB-', 'AL', '-RRB-', 'Ahmad', 'Qattan', 'said', 'here', 'Monday', 'that', 'he', 'will', 'attend', 'the', 'upcoming', 'Arab', 'summit', 'on', 'behalf', 'of', 'his', 'country', ',', 'ruling', 'out', 'the', 'presence', 'of', 'Saudi', 'King', 'Abdullah', 'or', 'Foreign', 'Minister', 'Prince', 'Saud', 'al-Faisal', '.']",28,28,0,0,,,,,
NYT_ENG_20080407.0069.LDC2009T13,61b3a0af8f75b88f9388,"He's worn T-shirts made by local companies, he's dedicated a Beatles song to an Atlanta singer who died recently, and he allows ""Idol"" producers to cite ""Buckhead"" as his current residence -?","['He', ""'s"", 'worn', 'T-shirts', 'made', 'by', 'local', 'companies', ',', 'he', ""'s"", 'dedicated', 'a', 'Beatles', 'song', 'to', 'an', 'Atlanta', 'singer', 'who', 'died', 'recently', ',', 'and', 'he', 'allows', '``', 'Idol', ""''"", 'producers', 'to', 'cite', '``', 'Buckhead', ""''"", 'as', 'his', 'current', 'residence', '-', '?']",36,36,17,17,,,,,
NYT_ENG_20071010.0023.LDC2009T13,61b3a0af8f0768b819c9,"Observing from his headquarters in Tupelo, Miss., the Rev. Donald Wildmon, executive director of the American Family Association, a conservative Christian advocacy group, confesses to being flummoxed: ""Here you have a Democrat, most of the time who are liberals, talking about issues you would expect coming from a conservative Republican.","['Observing', 'from', 'his', 'headquarters', 'in', 'Tupelo', ',', 'Miss.', ',', 'the', 'Rev.', 'Donald', 'Wildmon', ',', 'executive', 'director', 'of', 'the', 'American', 'Family', 'Association', ',', 'a', 'conservative', 'Christian', 'advocacy', 'group', ',', 'confesses', 'to', 'being', 'flummoxed', ':', '``', 'Here', 'you', 'have', 'a', 'Democrat', ',', 'most', 'of', 'the', 'time', 'who', 'are', 'liberals', ',', 'talking', 'about', 'issues', 'you', 'would', 'expect', 'coming', 'from', 'a', 'conservative', 'Republican', '.']",11,12,5,5,,,,,
LTW_ENG_20081216.0136.LDC2009T13,61b3a0af8f4f3a8d68a1,"""She has started on a full footing here ,"" said George Arzt, a strategist who works for Rep. Carolyn Maloney, another Democratic Senate hopeful from Manhattan's East Side.","['``', 'She', 'has', 'started', 'on', 'a', 'full', 'footing', 'here', ',', ""''"", 'said', 'George', 'Arzt', ',', 'a', 'strategist', 'who', 'works', 'for', 'Rep.', 'Carolyn', 'Maloney', ',', 'another', 'Democratic', 'Senate', 'hopeful', 'from', 'Manhattan', ""'s"", 'East', 'Side', '.']",21,22,31,32,,,,,
NYT_ENG_20101130.0013,61b3a0af8f960db16ba7,"Cathleen P. Black, a publishing executive, won the helm of New York City's public school system Monday with a waiver from the state education commissioner that said her inexperience in education would be offset in part by the appointment of a chief academic officer to serve by her side.","['Cathleen', 'P.', 'Black', ',', 'a', 'publishing', 'executive', ',', 'won', 'the', 'helm', 'of', 'New', 'York', 'City', ""'s"", 'public', 'school', 'system', 'Monday', 'with', 'a', 'waiver', 'from', 'the', 'state', 'education', 'commissioner', 'that', 'said', 'her', 'inexperience', 'in', 'education', 'would', 'be', 'offset', 'in', 'part', 'by', 'the', 'appointment', 'of', 'a', 'chief', 'academic', 'officer', 'to', 'serve', 'by', 'her', 'side', '.']",0,2,12,14,,,,,
