tac_doc_id,tac_sentence_id,sentence,indexed_tokens,subj_start,subj_end,obj_start,obj_end,assessment,alt_subj_start,alt_subj_end,alt_obj_start,alt_obj_end
eng-WL-11-174587-12962613,61b3a0af8f529cfaab32,Spencer Pratt: Beverly Hills Birthday Boy,"[(0, 'Spencer'), (1, 'Pratt'), (2, ':'), (3, 'Beverly'), (4, 'Hills'), (5, 'Birthday'), (6, 'Boy')]",0,1,3,4,,,,,
NYT_ENG_20070307.0072.LDC2009T13,61b3a0af8fbc91cad61a,"The same week that a Los Angeles salon owner was pleading with Britney Spears not to buzz her head, barbers were laying tracks across the scalps of all sorts of men at the Aidan Gill for Men salon in New Orleans.","[(0, 'The'), (1, 'same'), (2, 'week'), (3, 'that'), (4, 'a'), (5, 'Los'), (6, 'Angeles'), (7, 'salon'), (8, 'owner'), (9, 'was'), (10, 'pleading'), (11, 'with'), (12, 'Britney'), (13, 'Spears'), (14, 'not'), (15, 'to'), (16, 'buzz'), (17, 'her'), (18, 'head'), (19, ','), (20, 'barbers'), (21, 'were'), (22, 'laying'), (23, 'tracks'), (24, 'across'), (25, 'the'), (26, 'scalps'), (27, 'of'), (28, 'all'), (29, 'sorts'), (30, 'of'), (31, 'men'), (32, 'at'), (33, 'the'), (34, 'Aidan'), (35, 'Gill'), (36, 'for'), (37, 'Men'), (38, 'salon'), (39, 'in'), (40, 'New'), (41, 'Orleans'), (42, '.')]",12,13,5,6,,,,,
NYT_ENG_20081130.0180.LDC2009T13,61b3a0af8f45eb343ec5,"Meadows, founded and operated by Carolyn Goodman, the wife of the Las Vegas mayor, Oscar Goodman, occupies a lush 40-acre campus dotted by markers touting the sponsorships of buildings, benches, trees, even trash receptacles in honor of the scions of the city's business and political leaders.","[(0, 'Meadows'), (1, ','), (2, 'founded'), (3, 'and'), (4, 'operated'), (5, 'by'), (6, 'Carolyn'), (7, 'Goodman'), (8, ','), (9, 'the'), (10, 'wife'), (11, 'of'), (12, 'the'), (13, 'Las'), (14, 'Vegas'), (15, 'mayor'), (16, ','), (17, 'Oscar'), (18, 'Goodman'), (19, ','), (20, 'occupies'), (21, 'a'), (22, 'lush'), (23, '40-acre'), (24, 'campus'), (25, 'dotted'), (26, 'by'), (27, 'markers'), (28, 'touting'), (29, 'the'), (30, 'sponsorships'), (31, 'of'), (32, 'buildings'), (33, ','), (34, 'benches'), (35, ','), (36, 'trees'), (37, ','), (38, 'even'), (39, 'trash'), (40, 'receptacles'), (41, 'in'), (42, 'honor'), (43, 'of'), (44, 'the'), (45, 'scions'), (46, 'of'), (47, 'the'), (48, 'city'), (49, ""'s""), (50, 'business'), (51, 'and'), (52, 'political'), (53, 'leaders'), (54, '.')]",6,7,13,14,,,,,
LTW_ENG_20070814.0081.LDC2009T13,61b3a0af8fa39a7950a4,"On the July morning in 1944 when she boarded a Greyhound bus in Gloucester bound for Baltimore, Kirkaldy was not thinking about tackling racial segregation.","[(0, 'On'), (1, 'the'), (2, 'July'), (3, 'morning'), (4, 'in'), (5, '1944'), (6, 'when'), (7, 'she'), (8, 'boarded'), (9, 'a'), (10, 'Greyhound'), (11, 'bus'), (12, 'in'), (13, 'Gloucester'), (14, 'bound'), (15, 'for'), (16, 'Baltimore'), (17, ','), (18, 'Kirkaldy'), (19, 'was'), (20, 'not'), (21, 'thinking'), (22, 'about'), (23, 'tackling'), (24, 'racial'), (25, 'segregation'), (26, '.')]",7,7,13,13,,,,,
APW_ENG_20081107.0065.LDC2009T13,61b3a0af8ffac82dbe27,"She stayed at her home in Wasilla, located 40 miles to the north, but was expected in her office on Friday, spokesman Bill McAllister said.","[(0, 'She'), (1, 'stayed'), (2, 'at'), (3, 'her'), (4, 'home'), (5, 'in'), (6, 'Wasilla'), (7, ','), (8, 'located'), (9, '40'), (10, 'miles'), (11, 'to'), (12, 'the'), (13, 'north'), (14, ','), (15, 'but'), (16, 'was'), (17, 'expected'), (18, 'in'), (19, 'her'), (20, 'office'), (21, 'on'), (22, 'Friday'), (23, ','), (24, 'spokesman'), (25, 'Bill'), (26, 'McAllister'), (27, 'said'), (28, '.')]",25,26,6,6,,,,,
XIN_ENG_20080324.0170.LDC2009T13,61b3a0af8f87278e2a2d,"DAMASCUS - Saudi permanent representative to the Arab League (AL) Ahmad Qattan said here Monday that he will attend the upcoming Arab summit on behalf of his country, ruling out the presence of Saudi King Abdullah or Foreign Minister Prince Saud al-Faisal.","[(0, 'DAMASCUS'), (1, '--'), (2, 'Saudi'), (3, 'permanent'), (4, 'representative'), (5, 'to'), (6, 'the'), (7, 'Arab'), (8, 'League'), (9, '-LRB-'), (10, 'AL'), (11, '-RRB-'), (12, 'Ahmad'), (13, 'Qattan'), (14, 'said'), (15, 'here'), (16, 'Monday'), (17, 'that'), (18, 'he'), (19, 'will'), (20, 'attend'), (21, 'the'), (22, 'upcoming'), (23, 'Arab'), (24, 'summit'), (25, 'on'), (26, 'behalf'), (27, 'of'), (28, 'his'), (29, 'country'), (30, ','), (31, 'ruling'), (32, 'out'), (33, 'the'), (34, 'presence'), (35, 'of'), (36, 'Saudi'), (37, 'King'), (38, 'Abdullah'), (39, 'or'), (40, 'Foreign'), (41, 'Minister'), (42, 'Prince'), (43, 'Saud'), (44, 'al-Faisal'), (45, '.')]",28,28,0,0,,,,,
NYT_ENG_20080407.0069.LDC2009T13,61b3a0af8f75b88f9388,"He's worn T-shirts made by local companies, he's dedicated a Beatles song to an Atlanta singer who died recently, and he allows ""Idol"" producers to cite ""Buckhead"" as his current residence -?","[(0, 'He'), (1, ""'s""), (2, 'worn'), (3, 'T-shirts'), (4, 'made'), (5, 'by'), (6, 'local'), (7, 'companies'), (8, ','), (9, 'he'), (10, ""'s""), (11, 'dedicated'), (12, 'a'), (13, 'Beatles'), (14, 'song'), (15, 'to'), (16, 'an'), (17, 'Atlanta'), (18, 'singer'), (19, 'who'), (20, 'died'), (21, 'recently'), (22, ','), (23, 'and'), (24, 'he'), (25, 'allows'), (26, '``'), (27, 'Idol'), (28, ""''""), (29, 'producers'), (30, 'to'), (31, 'cite'), (32, '``'), (33, 'Buckhead'), (34, ""''""), (35, 'as'), (36, 'his'), (37, 'current'), (38, 'residence'), (39, '-'), (40, '?')]",36,36,17,17,,,,,
NYT_ENG_20071010.0023.LDC2009T13,61b3a0af8f0768b819c9,"Observing from his headquarters in Tupelo, Miss., the Rev. Donald Wildmon, executive director of the American Family Association, a conservative Christian advocacy group, confesses to being flummoxed: ""Here you have a Democrat, most of the time who are liberals, talking about issues you would expect coming from a conservative Republican.","[(0, 'Observing'), (1, 'from'), (2, 'his'), (3, 'headquarters'), (4, 'in'), (5, 'Tupelo'), (6, ','), (7, 'Miss.'), (8, ','), (9, 'the'), (10, 'Rev.'), (11, 'Donald'), (12, 'Wildmon'), (13, ','), (14, 'executive'), (15, 'director'), (16, 'of'), (17, 'the'), (18, 'American'), (19, 'Family'), (20, 'Association'), (21, ','), (22, 'a'), (23, 'conservative'), (24, 'Christian'), (25, 'advocacy'), (26, 'group'), (27, ','), (28, 'confesses'), (29, 'to'), (30, 'being'), (31, 'flummoxed'), (32, ':'), (33, '``'), (34, 'Here'), (35, 'you'), (36, 'have'), (37, 'a'), (38, 'Democrat'), (39, ','), (40, 'most'), (41, 'of'), (42, 'the'), (43, 'time'), (44, 'who'), (45, 'are'), (46, 'liberals'), (47, ','), (48, 'talking'), (49, 'about'), (50, 'issues'), (51, 'you'), (52, 'would'), (53, 'expect'), (54, 'coming'), (55, 'from'), (56, 'a'), (57, 'conservative'), (58, 'Republican'), (59, '.')]",11,12,5,5,,,,,
LTW_ENG_20081216.0136.LDC2009T13,61b3a0af8f4f3a8d68a1,"""She has started on a full footing here ,"" said George Arzt, a strategist who works for Rep. Carolyn Maloney, another Democratic Senate hopeful from Manhattan's East Side.","[(0, '``'), (1, 'She'), (2, 'has'), (3, 'started'), (4, 'on'), (5, 'a'), (6, 'full'), (7, 'footing'), (8, 'here'), (9, ','), (10, ""''""), (11, 'said'), (12, 'George'), (13, 'Arzt'), (14, ','), (15, 'a'), (16, 'strategist'), (17, 'who'), (18, 'works'), (19, 'for'), (20, 'Rep.'), (21, 'Carolyn'), (22, 'Maloney'), (23, ','), (24, 'another'), (25, 'Democratic'), (26, 'Senate'), (27, 'hopeful'), (28, 'from'), (29, 'Manhattan'), (30, ""'s""), (31, 'East'), (32, 'Side'), (33, '.')]",21,22,31,32,,,,,
NYT_ENG_20101130.0013,61b3a0af8f960db16ba7,"Cathleen P. Black, a publishing executive, won the helm of New York City's public school system Monday with a waiver from the state education commissioner that said her inexperience in education would be offset in part by the appointment of a chief academic officer to serve by her side.","[(0, 'Cathleen'), (1, 'P.'), (2, 'Black'), (3, ','), (4, 'a'), (5, 'publishing'), (6, 'executive'), (7, ','), (8, 'won'), (9, 'the'), (10, 'helm'), (11, 'of'), (12, 'New'), (13, 'York'), (14, 'City'), (15, ""'s""), (16, 'public'), (17, 'school'), (18, 'system'), (19, 'Monday'), (20, 'with'), (21, 'a'), (22, 'waiver'), (23, 'from'), (24, 'the'), (25, 'state'), (26, 'education'), (27, 'commissioner'), (28, 'that'), (29, 'said'), (30, 'her'), (31, 'inexperience'), (32, 'in'), (33, 'education'), (34, 'would'), (35, 'be'), (36, 'offset'), (37, 'in'), (38, 'part'), (39, 'by'), (40, 'the'), (41, 'appointment'), (42, 'of'), (43, 'a'), (44, 'chief'), (45, 'academic'), (46, 'officer'), (47, 'to'), (48, 'serve'), (49, 'by'), (50, 'her'), (51, 'side'), (52, '.')]",0,2,12,14,,,,,
NYT_ENG_20071026.0056.LDC2009T13,61b3a0af8f58a4abf424,"In 1974, divorced and the mother of a 5-year-old, Forsberg moved to Boston and began studying arms control at MIT; she received her Ph.D. in 1980.","[(0, 'In'), (1, '1974'), (2, ','), (3, 'divorced'), (4, 'and'), (5, 'the'), (6, 'mother'), (7, 'of'), (8, 'a'), (9, '5-year-old'), (10, ','), (11, 'Forsberg'), (12, 'moved'), (13, 'to'), (14, 'Boston'), (15, 'and'), (16, 'began'), (17, 'studying'), (18, 'arms'), (19, 'control'), (20, 'at'), (21, 'MIT'), (22, ';'), (23, 'she'), (24, 'received'), (25, 'her'), (26, 'Ph.D.'), (27, 'in'), (28, '1980'), (29, '.')]",11,11,14,14,,,,,
eng-WL-107-174567-12931742,61b3a0af8f4161f8cbd0,"Here she is seen in her home town of McComb, Mississippi running errands with her baby girl, and by the sounds of it, she may be errand running on the solo side much more often in the coming days, weeks, months, whatever.","[(0, 'Here'), (1, 'she'), (2, 'is'), (3, 'seen'), (4, 'in'), (5, 'her'), (6, 'home'), (7, 'town'), (8, 'of'), (9, 'McComb'), (10, ','), (11, 'Mississippi'), (12, 'running'), (13, 'errands'), (14, 'with'), (15, 'her'), (16, 'baby'), (17, 'girl'), (18, ','), (19, 'and'), (20, 'by'), (21, 'the'), (22, 'sounds'), (23, 'of'), (24, 'it'), (25, ','), (26, 'she'), (27, 'may'), (28, 'be'), (29, 'errand'), (30, 'running'), (31, 'on'), (32, 'the'), (33, 'solo'), (34, 'side'), (35, 'much'), (36, 'more'), (37, 'often'), (38, 'in'), (39, 'the'), (40, 'coming'), (41, 'days'), (42, ','), (43, 'weeks'), (44, ','), (45, 'months'), (46, ','), (47, 'whatever'), (48, '.')]",1,1,9,9,,,,,
